id,series,subject,grade,term,year,publisher,type,title,pages,paper_count,unit_price,no_cover_price,has_cover,companion_of,file
65,,,5,1,2027,المتميزون,كتاب,الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf,210,105,88.25,68.25,True,,library\Grade_05\الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - بت باي بت.pdf
66,,,5,1,2027,,كتاب,الصف الخامس الابتدائي - الترم الأول - 2027 - تاسيس القواعد النحويه + مقرر ا سمير.pdf,62,31,40.15,20.15,True,,library\Grade_05\الصف الخامس الابتدائي - الترم الأول - 2027 - تاسيس القواعد النحويه + مقرر ا سمير.pdf
67,,,5,1,2027,,كتاب,الصف الخامس الابتدائي - الترم الأول - 2027 - حل كتاب المدرسه خامسه ابتدائي Mr Mohamed Said.pdf,112,56,56.4,36.4,True,,library\Grade_05\الصف الخامس الابتدائي - الترم الأول - 2027 - حل كتاب المدرسه خامسه ابتدائي Mr Mohamed Said.pdf
68,المعاصر,انجليزي,5,1,2027,المتميزون,كتاب,المعاصر - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf,274,137,109.05,89.05,True,,library\Grade_05\المعاصر - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون.pdf
69,المعاصر,انجليزي,5,,,,كتاب,المعاصر - انجليزي - الصف الخامس الابتدائي - حل الوحده الاولي كامله من كتاب لغه ه للصف الخامس.pdf,21,10,26.5,6.5,True,,library\Grade_05\المعاصر - انجليزي - الصف الخامس الابتدائي - حل الوحده الاولي كامله من كتاب لغه ه للصف الخامس.pdf
70,جيم,انجليزي,5,1,2027,,كتاب,جيم - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,256,128,103.2,83.2,True,,library\Grade_05\جيم - انجليزي - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
71,,,5,,2027,,حلول,حلول الصف الخامس الابتدائي - 2027 - +تقييمات+خامسه+ابتدائي+الترم+الاول+ +Mr +Mohamed+Said 1.pdf,69,34,42.1,22.1,True,,library\Grade_05\حلول الصف الخامس الابتدائي - 2027 - +تقييمات+خامسه+ابتدائي+الترم+الاول+ +Mr +Mohamed+Said 1.pdf
72,سلاح التلميذ,,5,1,2027,المتميزون,كتاب,سلاح التلميذ - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - دين.pdf,178,89,77.85,57.85,True,,library\Grade_05\سلاح التلميذ - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - دين.pdf
73,سلاح التلميذ,,5,1,2027,المتميزون,كتاب,سلاح التلميذ - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - كمبيوتر.pdf,130,65,62.25,42.25,True,,library\Grade_05\سلاح التلميذ - الصف الخامس الابتدائي - الترم الأول - 2027 - المتميزون - كمبيوتر.pdf
74,سلاح التلميذ,دراسات,5,1,2027,,كتاب,سلاح التلميذ - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,290,145,114.25,94.25,True,,library\Grade_05\سلاح التلميذ - دراسات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
75,سلاح التلميذ,رياضيات,5,1,2027,,كتاب,سلاح التلميذ - رياضيات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf,290,145,114.25,94.25,True,,library\Grade_05\سلاح التلميذ - رياضيات - الصف الخامس الابتدائي - الترم الأول - 2027.pdf
